Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Califa Farms Unsweetened Black and White Cold Brew Coffee with Almond, 310 ml",B074Y45BV9,Califa Farms,,,,233671,,1,,,6,0,,Fresh & Chilled,Large Oversize,,2.5x6.1x2.4,0.79,1/1/2017
Jimmys Dairy Free Iced Coffee 330ml (Pack of 12),B07D94GN3N,Jimmy's,,,,236514,,1,5,2,1,0,,Fresh & Chilled,Large Oversize,MFN,6.7x9.7x5.5,10.14,6/5/2018
"Jimmy's Iced Coffee Mocha, 275 ml",B097Z65HS9,Jimmy's,,,,238450,,1,,,1,0,,Fresh & Chilled,,MFN,,0.88,6/17/2021
"Glaxon Super Greens 42 Servings Lemon Iced Tea, 310 g",B08PDZ8SF9,Glaxon,41.50,1,42,189197,8.68,2,1,1,3,0,Quins Store,Health & Personal Care,Large Oversize,MFN,3.6x5.9x3.5,0.84,12/1/2020
"Loving Foods Award Winning *Certified Organic* Matcha & Mint Kombucha (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (1 x Bottle)",B06XYV7KLJ,Loving Foods,2.95,,0,242912,,1,4,1,8,0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
"Sandows London Cold Brew Coffee, 200ml",B017KQZNIA,Sandows,,,,244111,,1,1,1,5,0,,All Departments,Large Oversize,,2.8x6.4x1.5,0.90,11/4/2015
STARBUCKS VIA Instant Caramel ICED Coffee 6packets,B005CIMZAS,STARBUCKS,,,,249289,,1,4,66,5,0,,Grocery,Large Oversize,FBA,3.6x5.9x1.7,0.75,8/20/2015
"EMMI Caffe Latte Vanilla, 230ml",B00G3K8878,Emmi,,,,260335,,1,,,7,0,,Fresh & Chilled,Large Oversize,,5.4x8.3x2.9,0.57,10/22/2013
Hostess Ding Dong Iced Latte 405ml (Pack of 6),B08D9LG6XH,Ding Dongs,24.90,1,25,271752,,2,,,1,0,iCandynSweets,Fresh & Chilled,,MFN,,,7/20/2020
Twinings Cold Infuse Watermelon Strawberry & Mint 20 Envelope Infusers,B07DKHG1B2,,,,,278154,,1,5,1,2,0,,Fresh & Chilled,,MFN,,,6/29/2018
Tiki Tonga 250ml Original Cold Brew Coffee - Smooth Black Coffee Crafted from Our Signature #12 Brew - Ready to Drink - Specialty Roast of 100% Arabica Coffee… (Single Can),B0883B37CJ,TIKI TONGA,,,,281696,,1,4,3,4,0,,Fresh & Chilled,,MFN,,,5/3/2020
Black ice Tea and Raspberry Taste Beverage (Still) (The Pack of 12 x 500ml),B07PFKK3K7,JUNEJULY,,,,299249,,1,4,3,3,0,,Fresh & Chilled,Large Oversize,FBA,8.3x9.8x6.5,13.58,5/14/2019
Black ice Tea and Peach Taste Beverage (Still) (The Pack of 12 x 500ml),B07PJRWTHB,JUNEJULY,,,,311743,,1,2,1,5,0,,Fresh & Chilled,Large Oversize,FBA,8.0x9.5x6.8,13.40,5/14/2019
Daioni Double Shot Iced Coffee Drink 330 ml,B085Y1Y7NM,Daioni,,,,314871,,1,2,1,1,0,,Fresh & Chilled,Large Oversize,,2.2x5.5x2.0,0.77,3/4/2020
Paulig Presidentti pan Ground Coffee 1 Pack of 500g,B08V5LNS8X,Paulig,25.00,,0,314159,,1,,,1,0,Soposopo North European Shop,Fresh & Chilled,,MFN,,,1/27/2021
Pokka No Sugar Jasmine Green Tea - 1.5L Bottle,B071V9JLV5,Pokka,,,,333120,,1,,,6,0,,Fresh & Chilled,Large Oversize,MFN,4.0x12.0x4.0,3.44,8/14/2020
(Pack Of 8) Ginger Kombucha | EQUINOX KOMBUCHA,B01A778NAY,EQUINOX,,,,344442,,1,4,2,1,0,,Fresh & Chilled,,MFN,,,1/5/2016
"Stok Cold Mocha Black Cold-Brew Coffee, 250 ml",B08GB87HJV,Stok Cold,,,,348496,,1,,,1,0,Amazon,Fresh & Chilled,,AMZ,,0.55,8/17/2020
Booch & Brew Award Winning Vegan Kombucha - Mango Flavour | 12 x 300ml Raw Unpasteurised Kombucha Drink with No Artificial Nasties | Non-Alcoholic Kombucha Tea Drink,B083ZJZBV2,Booch & Brew,,,,349754,,1,,,6,0,,Fresh & Chilled,,,,,6/9/2021
"Stok Cold Vanilla Black Cold-Brew Coffee, 250 ml",B08GB87HK5,Stok Cold,,,,350327,,1,,,1,0,,Fresh & Chilled,,,,0.55,8/17/2020
"GO KOMBUCHA is The UK’s Most respected, Multi-Great Taste-Award Winning Real Kombucha Tea.100% Raw and Traditionally Brewed with Water from Our Onsite Spring Well. The Mixed Party Pack",B089KT9BCR,Go! Kombucha,,,,362286,,1,,,4,0,,Fresh & Chilled,,MFN,,,6/1/2020
Paulig Juhla Mokka Filter Ground Coffee 12 Packs of 500g,B08V5L5SR9,Paulig,133.00,,0,362607,,1,,,1,0,Soposopo North European Shop,Fresh & Chilled,,MFN,,,1/27/2021
"Cool Chile Company Epazote Tea, 25 g",B074G4G8QX,Cool Chile Company,,,,364525,,1,,,1,0,,Fresh & Chilled,Standard Parcel,,2.4x2.4x2.4,0.16,8/4/2017
Land & Tide Oat Iced Mocha 250ml (12 Pack),B07KKGG7ZK,LAND & TIDE,,,,380800,,1,,,3,0,,Fresh & Chilled,,MFN,,,11/15/2018
"Starbucks Iced Coffee, Cappuccino, 220ml",B014QU11CA,STARBUCKS,1.70,,0,396510,,2,5,13,1,0,,Fresh & Chilled,Small Oversize,,3.1x4.7x3.0,0.47,9/1/2015
Kirkland Signature Cold Brew Colombian Coffee 12 Cans - 12 x 325ML,B07W19KKGQ,KIRKLAND SIGNATURE,,,,397409,,1,,,3,0,,Fresh & Chilled,Large Oversize,MFN,7.0x10.0x6.3,9.04,9/16/2021
"Starbucks Iced Coffee, Vanilla Frappuccino, 250ml",B00LUIC3GU,STARBUCKS,1.59,,0,399748,,1,4,5,7,3,,Fresh & Chilled,Large Oversize,,2.4x6.4x2.4,1.02,9/1/2015
Oat Iced Coffee (6 Pack),B084H3NRBL,LAND & TIDE,,,,409544,,1,,,1,0,,Fresh & Chilled,,,,,2/4/2020
Land & Tide Oat Iced Coffee 250ml (12 Pack),B07KKGF4RH,LAND & TIDE,,,,409852,,1,,,3,0,,Fresh & Chilled,,MFN,,,11/15/2018
"Minor Figures Cold Brew Mocha Nitro Can, 200 ml",B07FKG4TH2,Minor Figures,1.99,,0,410616,2.50,5,4,3,6,0,,Fresh & Chilled,Small Oversize,MFN,1.7x5.0x1.7,0.49,2/11/2019
"Booths Jasmine Loose Leaf Tea, 125 g",B075XPRWB2,Booths,,,,410891,,1,,,4,0,,Fresh & Chilled,Small Oversize,,3.5x9.6x2.3,0.29,9/25/2016
Jimmys Mocha,B01NBKL99F,,,,,412289,,1,,,1,0,,Fresh & Chilled,,,,,1/26/2017
Iced Coffee Moka Instinct 9 Cans,B0747NDJZZ,Bevi più naturale,,,,415753,,1,,,5,0,,Fresh & Chilled,Large Oversize,MFN,6.5x6.7x6.5,3.53,8/15/2017
Paulig Presidentti Finely Ground Coffee 12 Pack of 500g,B08V6KJ99D,Paulig,152.00,,0,422478,,1,,,1,0,Soposopo North European Shop,Fresh & Chilled,,MFN,,,1/27/2021
Paulig Juhla Mokka Coffee Bean Coffee 1 Pack of 500g,B08V6T5Z9X,Paulig,24.00,,0,430004,,1,,,1,0,Soposopo North European Shop,Fresh & Chilled,,MFN,,,1/27/2021
Grenade Killa Coffee - Iced Skinny Latte with protein 250ml,B06WGSHXBS,Grenade,,,,435116,,1,,,1,0,,Fresh & Chilled,,MFN,,,2/17/2017
(Pack of 8) Blue Diamond - Almond Breeze Mocha Iced Coffe 250 ML,B00MH40IWW,,,,,460901,,1,,,1,0,,Fresh & Chilled,,,,,8/6/2014
"illy issimo Cappuccino Cold Coffee Drink, 250 ml",B00LRMHX00,illy,,,,465449,,1,4,2,1,0,,Fresh & Chilled,Large Oversize,,2.3x6.1x2.2,0.62,7/13/2014
Booch & Brew Award Winning Vegan Kombucha - Strawberry and Mint Flavour | 12 x 300ml Raw Unpasteurised Kombucha Drink with No Artificial Nasties | Non-Alcoholic Kombucha Tea Drink,B083ZLCDRF,Booch & Brew,,,,469480,,1,,,6,0,,Fresh & Chilled,,,,,6/9/2021
(Pack of 8) Blue Diamond - Almond Breeze Cappuccino Iced 250 ML,B00MH40L1A,,,,,471586,,1,,,1,0,,Fresh & Chilled,,,,,8/6/2014
Ufit Iced Latte High Protein + Coffee Milkshake 310ml,B072VZBTFK,UFIT,,,,472038,,1,5,3,3,0,,Fresh & Chilled,Large Oversize,,2.5x6.5x2.5,0.75,7/25/2019
"Alpro Caffè Ethiopian Coffee and Soya Caramel Drink, 235ml",B07NJ81Z44,Alpro,,,,492824,,1,,,3,0,,Fresh & Chilled,Large Oversize,,3.1x4.7x3.0,0.57,2/8/2019
Mogo Mogo: Loose Leaf Green Tea 70 g,B07CRJDKXS,Oxalis,,,,510296,,1,,,2,0,,Fresh & Chilled,Standard Parcel,,2.4x7.6x1.6,0.18,4/30/2018
Organic Matcha Shao Xing: Box of 15 sachets; 1 Sachet = 1.5 g,B07CRJKKN4,Oxalis,,,,517905,,1,5,1,3,0,,Fresh & Chilled,Standard Parcel,FBA,3.9x4.3x2.8,0.13,4/30/2018
Minor Figures Black Nitro Cold Brew Coffee 200ml,B07FXTFJ1F,Minor Figures,4.28,,0,536030,,1,,,1,0,,Fresh & Chilled,,MFN,,,7/26/2018
"Cawston Press Apple & Elderflower Pressed Juice, 1 l, Pack of 6",B01LB6ZWLI,Cawston Press,13.80,5045,69621,441,7.39,4,5,1590,5,50,Amazon,Fresh & Chilled,Large Oversize,AMZ,8.7x10.0x6.6,14.75,6/27/2019
"Remedy Raw Kombucha Tea, Kefir and Switchel Mixed Case - Sparkling Live Cultured Drinks - 24x250 Milliliter Can Case",B085T5R57B,REMEDY Kombucha,29.99,1338,40127,2263,9.86,2,5,674,7,11,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,8.5x12.2x7.6,13.93,3/11/2020
"MOJU Ginger Dosing Bottles (4x500ml) | 17.2g of Fresh Pressed Ginger Root in Every Shot | Your Plant Powered Morning Wake Up/Afternoon Lift | Whole Ingredients, Nothing Artificial | 8+Shots per Bottle",B08XZRHJF1,MOJU,28.10,878,24672,1933,,1,5,287,7,142,MOJU Drinks,Fresh & Chilled,,MFN,,,11/11/2020
Barista Coffee Co. Caffe Latte Iced Coffee Drink Tin Can 250ml (Pack of 12),B07FLQCRGQ,Barista Coffee Co.,12.00,766,9192,2284,6.37,4,4,412,8,8,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.4x8.8x5.3,7.30,4/1/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - 4 Flavour Variety Pack/Mixed Case - 24 250ml Can Case,B07ZZLTLQQ,REMEDY Kombucha,29.99,700,20993,2178,9.86,2,5,767,6,11,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.3x13.0x5.9,14.59,11/14/2019
"Lo Bros - Organic Kombucha Ginger & Lemon - Dairy Free, Gluten-Free & Vegan Refreshing Soft Drink - 12 x 250ml",B088HSBY58,Lo Bros,13.47,802,10803,2780,6.59,1,4,239,5,9,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.5x8.7x5.6,7.14,5/11/2020
Biona Organic Cranberry Pure Super Juice 330 ml (Pack of 1),B08124W9FX,Biona Organic,5.38,787,4234,4066,2.94,2,4,566,3,13,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.9x8.9x2.8,1.17,11/19/2019
Lo Bros - Passionfruit Kombucha - Organic Vegan Naturally Low in Sugar - 250ml Cans (Pack of 12),B088HV8LP6,Lo Bros,14.97,327,4895,5839,6.82,1,5,109,4,9,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.7x8.5x5.7,7.14,5/11/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - 4 Flavour Variety Pack/Mixed Case - 12 Can Case,B0844PSYS6,REMEDY Kombucha,17.99,273,4911,5403,7.28,2,5,493,6,6,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,8.5x9.5x5.9,7.08,12/10/2019
"Lo Bros - Kombucha Raspberry & Lemon - Organic, Vegan, Naturally Low in Sugar - 250ml (Pack of 12)",B088HV8LP7,Lo Bros,14.97,450,6737,4624,7.57,1,5,118,4,5,Amazon,Fresh & Chilled,Large Oversize,AMZ,7.0x8.6x5.0,7.10,5/11/2020
"No.1 Living Kombucha Health Shots - Blueberry, Elderberry & Acai - 10 x 60ml Bottles - High Fibre, Live Cultures, Low Sugar, Vegan - Supporting Gut & Brain Health",B08MFKH57Z,No 1 Living,19.99,216,4318,7250,5.71,1,4,100,7,3,No1 Living,Fresh & Chilled,Large Oversize,FBA,3.9x8.6x3.9,2.76,11/2/2020
"Master Café Iced Coffee in Cans, High-Quality Arabica & Robusta Coffee Bean Blend, Ready to Drink, Enjoy Cold or Iced, Classico, Latte, and Mocha 240ml (Pack of 12)",B088ZPM5CY,Master Café,17.99,199,3580,10619,7.28,2,4,167,7,4,Snax Emporium Food & Drink,Fresh & Chilled,Large Oversize,MFN,8.0x11.5x3.8,7.81,5/21/2020
"Get More Vits - Kids Multivitamin Drink, Sugar Free, Apple & Blackcurrant, Still, 330ml (Pack of 12)",B07LBY3JH3,Get More,13.49,126,1700,6054,6.68,1,5,134,8,0,Get More Vitamins,Drinks,Large Oversize,FBA,7.4x10.4x7.0,9.61,12/13/2018
"ROAR Shots, NEW Acai Shot Pack, Refreshing Natural Energy Health Shot to help boost the immune system. Vitamin C. (6 x 60ml)",B0999SR6X7,Roar Shots,12.00,126,1512,8113,4.34,1,5,13,7,4,Roar Shots,Fresh & Chilled,Large Oversize,FBA,4.3x5.8x3.7,1.72,7/13/2021
"Robinsons SQUASH'D, No Added Sugar, Real Fruit, Orange, Makes 20 Drinks Per Pack, 6 Packs",B07C7CQJLL,Robinsons,16.99,152,2582,9976,4.80,29,5,480,5,2,JW WORLD,Fresh & Chilled,Large Oversize,FBA,6.1x8.0x1.8,1.19,5/18/2018
Kenco Iced Latte Instant Coffee Original Powder 1.2kg Tin (1 Tin),B00LHQDZO4,Kenco,14.99,154,2308,10500,4.79,5,5,93,4,19,StormBrew: Coffee Pod Specialists,Fresh & Chilled,Large Oversize,FBA,5.3x7.2x5.3,1.81,3/12/2021
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Apple & Blackcurrant, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B00J3WOEDK,Robinsons,19.00,202,3838,9493,5.41,12,5,2001,5,8,MAMA MART LTD,Fresh & Chilled,Large Oversize,FBA,5.4x6.6x4.4,1.41,6/4/2015
"No.1 Living Kombucha – Apple & Elderflower – 12 x 250ml Cans – Sugar Free, Great Tasting Authentically Brewed Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B095X85GV4,No 1 Living,19.99,195,3898,10191,7.59,2,4,179,7,11,No1 Living,Fresh & Chilled,Large Oversize,FBA,6.8x8.8x5.7,6.94,12/8/2020
Belvoir Farm Elderflower and Rose Cordial 500 ml (Pack of 6),B01CJXDPHA,BELVOIR FRUIT FARMS,19.80,75,1485,28368,8.31,2,5,42,6,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,11.6x12.3x6.1,13.60,6/22/2015
Genie Kombucha - Dry Apple Kombucha - Fermented Cultures - No Added Sugar - No Sweetener - Dry Apple - Case of 12 x 330ml Cans,B09FLWQR3H,Genie Living Drinks,22.50,113,2543,10837,8.06,1,5,100,5,0,Genie Drinks,Fresh & Chilled,Large Oversize,MFN,7.9x11.0x5.5,10.36,9/6/2021
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 250ml Can, 24-Pack",B07L6MFWVS,REMEDY Kombucha,29.99,147,4409,13164,9.86,3,5,100,6,3,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.1x13.2x5.7,14.44,7/4/2018
"No.1 Living Kombucha – The Original Mix – 12 x 250ml Cans – Ginger, Raspberry, Passion Fruit - Sugar Free, Great Tasting Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B08DD6YG8Y,No 1 Living,21.99,99,2177,18638,7.89,3,4,32,9,1,No1 Living,Fresh & Chilled,Large Oversize,FBA,6.8x8.8x5.8,6.94,7/19/2020
"Twinings Cold In'Fuse Selection for Water Bottles 3 Flavours 36 Infusers Blueberry, Apple, Blackcurrant /Watermelon, Strawberry, Mint/ Rose Lemonade",B07TCQ8R9P,Generic,12.45,60,747,31328,4.23,7,4,278,4,0,Dewes Online,Fresh & Chilled,Small Oversize,FBA,5.4x9.5x3.3,0.46,6/20/2019
"Mokate Gold Premium Iced Coffee Drink 3 x 8 Sachets - Caramel, White Chocolate and Mocha Flavour and 1 x 260g Mokate Delicious Cookies Selection Box",B08MB56GKT,Kingdom Supplies,10.44,65,679,14124,4.07,2,4,77,8,2,Magisterial Online,Fresh & Chilled,Large Oversize,FBA,10.6x11.5x6.6,1.81,10/30/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade & Cherry Plum Twin Pack - 24 250ml Cans,B0815PTVBJ,REMEDY Kombucha,29.99,108,3239,13928,9.86,2,5,137,7,1,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,8.9x14.9x6.1,14.53,12/4/2019
"The Turmeric Co - Liquid Turmeric Drink Shots - High Strength 35000mg of Fresh Turmeric Root with Black Pepper, Pineapple, Lemon, Flax Oil, No Added Water, 28 Shots Cold Pressed, Vegan - Made in UK",B08W5GXKX6,The Turmeric Co.,66.99,208,13934,11985,,1,4,161,7,0,Innate-Essence Limited,Fresh & Chilled,,MFN,,,11/10/2021
"Unrooted - ACV Defence Healthy Functional Shot, Good Gut, 12 x 60ml Bottles, Ginger & Baobab",B0886GV2VK,Unrooted,24.99,144,3599,15607,6.73,1,4,166,7,5,Unrooted,Fresh & Chilled,Large Oversize,FBA,5.3x6.8x4.4,3.54,5/4/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Apple Crisp - 250ml Can, 24-Pack",B07L6PNS21,REMEDY Kombucha,29.99,72,2159,15895,9.86,4,5,63,1,0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.7x12.0x6.1,14.35,7/4/2018
(Full Case of 24) LIMCA CAN- 24X300ML,B07LCSV1Y3,LIMCA,24.99,46,1150,26543,9.13,7,5,29,1,0,Saras Foods UK,Fresh & Chilled,Large Oversize,MFN,9.7x14.3x5.6,17.91,12/14/2018
"The Gutsy Captain - Kombucha Tea, Certified Organic - Natural Fermented Probiotic Drink Coconut Summer Beach 1 Litre (Pack of 6)",B088HS98CY,The Gutsy Captain,23.98,95,2278,20507,8.94,1,4,118,4,-1,Amazon,Fresh & Chilled,Large Oversize,AMZ,9.2x10.2x6.9,14.02,5/11/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 700ml Bottle, 6-Pack",B08173CXTR,REMEDY Kombucha,19.99,58,1159,21086,,1,5,88,5,0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.0x9.3x6.1,9.92,12/4/2019
Mogu Mogu Grape Flavoured Drink with NATA de Coco - 6 x 320ml,B08ZDL37XW,Mogu Mogu,9.99,33,330,26531,5.82,6,5,2,1,0,Starry Asian Market,Fresh & Chilled,Large Oversize,MFN,6.1x7.6x4.9,4.41,3/18/2021
"Kombucha Starter Kit with Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Orange Pekoe Black Loose Tea",B08MKYGZ7M,Blighty Brew,15.99,31,496,46371,4.78,1,4,12,6,0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Small Oversize,FBA,4.3x8.7x1.6,0.53,11/3/2020
"Blue Raspberry & Strawberry Slushie Syrups, With FREE 330ml Slush Puppy style syrup concentrated Flavour (Pink Bubblegum 330ml)",B016BVM360,Lickleys,11.98,42,503,51520,4.74,1,4,262,3,7,Source 4 me,Fresh & Chilled,Large Oversize,FBA,7.6x8.5x2.6,3.81,9/24/2015
Slush Puppie Pouches- Blue Raspberry 3 Pack,B08V1FN4B9,Slush puppie,9.44,14,132,43791,4.01,7,4,16,7,0,Aflahgoodsltd,Fresh & Chilled,Large Oversize,FBA,3.7x8.7x3.0,1.76,1/26/2021
Sweetbird Caffe Frappe Mix (2kg) Coffee Flavoured Frappe Powder,B07N8BW9L3,Sweetbird,27.49,9,247,112570,8.24,4,5,8,1,0,PureGusto Coffee ⭐⭐⭐⭐⭐,Fresh & Chilled,Large Oversize,MFN,6.2x7.6x6.2,4.74,1/30/2019
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Raspberry Lemonade + Peach Twin Pack,B0934BF66L,REMEDY Kombucha,29.99,9,270,61068,,1,5,4,8,0,Remedy Drinks,Fresh & Chilled,,MFN,,,4/21/2021
"Gutsy Captain Kombucha - Raw Fermented Probiotic Kombucha, Vegan, No Preservatives, No Artificial Colours or Flavors, Non Pasteurized - 12 x 250ml Cans (Raspberry)",B088HFH4CX,Captain Kombucha Legendary Healthy Drink,21.75,30,653,74090,7.86,2,4,42,3,0,,Fresh & Chilled,Large Oversize,AMZ,6.9x9.0x5.6,7.32,5/11/2020
"The Turmeric Co - Turmeric Shots with Black Pepper, 35g Fresh Turmeric and Ginger Shot, Turmeric + Beetroot Fresh Shots, Box of 7, High Strength, 3 Different Flavours, Vegan, Supplements Made in UK",B08XBQWRJD,The Turmeric Co.,19.99,46,920,39727,,1,4,15,7,0,Innate-Essence Limited,Fresh & Chilled,,MFN,,,2/10/2021
L.A Brewery Craft Kombucha Citrus Hops (12x330ml),B08GM2YZPN,L.A BREWERY,30.00,19,570,40495,11.27,1,5,15,7,0,LA Brewery,Fresh & Chilled,Large Oversize,FBA,10.8x11.2x8.5,16.42,3/3/2021
CACAOLAT Original Chocolate Milk 200 ML - CASE of 24,B07NDDLDXV,Cacaolat,35.99,,0,126281,10.63,1,5,28,4,0,,Fresh & Chilled,Large Oversize,MFN,8.8x13.5x5.3,12.87,2/5/2019
Costa Vanilla Latte Coffee Drink 12 Cans of 250 ml,B095CLLTQZ,Costa,18.39,32,588,41209,7.04,6,5,2,2,0,VRP Retail,Fresh & Chilled,Large Oversize,MFN,5.6x12.9x4.4,7.22,5/19/2021
"Lo Bros Organic Kombucha Ginger and Lemon, 330ml",B07DPSRLDT,Lo Bros,2.00,10,20,55978,,1,4,54,3,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.4x7.8x2.4,1.23,6/12/2018
Slush Puppie Pouches Mixed Flavours 6 Pack,B08V13G1F8,Slush puppie,15.47,33,511,41180,5.28,8,4,31,8,1,Ocean Boulevard Ltd,Fresh & Chilled,Large Oversize,FBA,6.3x6.7x6.1,3.66,1/26/2021
Ginger Kombucha - 1 x 275 ml,B08BNB3LBJ,Good Earth Tea Co.,2.06,37,76,27392,2.67,7,4,19,5,1,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.1x14.6x3.0,1.12,6/17/2020
"Jimmy's Iced Coffee Mocha, 250 ml",B097Z53G8V,Jimmy's,1.65,13,21,45073,2.34,1,5,1,1,0,,Fresh & Chilled,Large Oversize,AMZ,1.9x5.2x1.8,0.57,6/17/2021
Barista Coffee Co. Double Shot Espresso Iced Coffee Drink Tin Can 250ml (Pack of 12),B07FLTW79S,Barista Coffee Co.,13.99,52,727,48280,6.67,5,5,60,1,1,More Sweets,Fresh & Chilled,Large Oversize,MFN,6.3x8.5x5.3,7.19,7/16/2018
Original Kombucha - 1 x 275 ml,B08BN5NS9S,Good Earth Tea Co.,2.30,31,71,37482,2.69,1,4,27,4,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.0x11.2x2.6,1.10,6/17/2020
Tuk Tuk Chai Ready-Brewed Iced Milk Tea | Flavoursome Masala Chai | Vegetarian | Gluten-Free | No Nasties | Under 150 Calories (14x250ml),B07TSYYWY3,Tuk Tuk Chai,21.00,14,294,30259,7.74,1,4,44,5,0,Tuk Tuk Chai,Fresh & Chilled,Large Oversize,FBA,11.4x13.1x4.6,8.51,6/29/2019
"Lo Bros - Organic Kombucha Ginger & Lemon - Dairy Free, Gluten-Free & Vegan Refreshing Soft Drink - 12 x 330ml",B07QYGKQ26,Lo Bros,24.00,23,552,38744,9.09,3,4,14,5,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,9.5x11.4x8.4,15.21,6/26/2019
Actimel Multifruit Drinking Yogurts 12 x 100g,B07W5FQWFR,Actimel,7.99,10,80,47103,,1,5,10,1,0,,Fresh & Chilled,,MFN,,,8/6/2019
"REAL Kombucha - Mixed Case 12x275ml Bottles - Sparkling Fermented Tea - Premium Kombucha, 100% Natural, Low Sugar, Low Calories, Vegan Friendly - from Exquisite Loose-Leaf Teas",B087XC7J6Q,REAL Kombucha,,27,,40045,,1,5,28,7,0,,Fresh & Chilled,,MFN,,,5/13/2020
"Remedy Raw Kombucha Tea, Kefir and Switchel Taster Mixed Case - Sparkling Live Cultured Drinks – 12 x 250ml Can Case",B09CS886FD,REMEDY Kombucha,17.99,39,702,48669,,1,5,3,8,0,Remedy Drinks,Fresh & Chilled,Large Oversize,MFN,6.7x9.0x5.9,7.25,8/16/2021
"Classikool [Super Sour 4 x 1 Litre /1000ml] Slush Syrup Set: Purple Sour Plum, Red Sour Cherry, Green Sour Apple, Yellow Lemon",B07J2KP1JW,Classikool,24.99,,0,324833,,1,5,1,1,0,Classikool® Luxury without expensive packaging.,Fresh & Chilled,,MFN,,,8/2/2018
L.A Brewery Sparkling English Rose Kombucha (6 X 750ml),B08GM23GYV,L.A BREWERY,48.04,17,817,45538,13.59,1,4,54,7,1,LA Brewery,Fresh & Chilled,Large Oversize,FBA,11.3x14.0x7.6,23.21,3/4/2021
Cocio Classic Cans 250ml (Pack of 12),B08G85QYBP,Cocio,15.39,25,385,52989,6.88,3,5,15,1,0,Zorba Online GB,Fresh & Chilled,Large Oversize,MFN,6.5x9.1x5.6,7.39,8/19/2020
Booch & Brew presents Hip Pop Kombucha –Ginger Yuzu Vegan Flavour – 12 x 300ml Authentic Fermented Kombucha Drink Non Alcoholic Drinks Gift Set – Organic Kombucha Tea Drink,B083ZGX95Y,Booch & Brew,27.99,5,140,34879,,1,5,25,6,0,Booch & Brew,Fresh & Chilled,,MFN,,,1/18/2020
The Gutsy Captain Kombucha Ginger Can 250 ml,B08M52G596,Captain Kombucha,2.09,,0,295443,2.38,1,3,9,1,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,1.9x5.3x1.9,0.60,10/19/2020
"Loving Foods Award Winning *Certified Organic* Kombucha Mixed Case (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (12 x Bottles)",B07CVFDMMS,Loving Foods,34.35,2,69,192076,,1,5,3,9,0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
Booch & Brew presents Hip Pop Kombucha – Blueberry Ginger Vegan Flavour – 12 x 300ml Authentic Fermented Kombucha Drink Non Alcoholic Drinks Gift Set – Organic Kombucha Tea Drink,B083ZK3WPT,Booch & Brew,27.99,,0,44980,,1,5,5,6,0,Booch & Brew,Fresh & Chilled,,MFN,,,1/18/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Peach - 700ml Bottle, 6-Pack",B08XW7PZJP,REMEDY Kombucha,19.99,13,260,50540,,1,5,6,7,0,Remedy Drinks,Fresh & Chilled,,MFN,,,12/4/2019
